2020-10-20 19:13:55,"b'RT @derekjames150: Two weeks from today, the American people will vote to evict #DonaldTrump from the White House and reclaim the Senate. I\xe2\x80\xa6'"
2020-10-20 19:13:41,"b""RT @MyNdkessinger01: #LALATE #MSC  #DonaldTrump Send out the money already. #NancyPelosi  is making too many deals on the side so she's not\xe2\x80\xa6"""
2020-10-20 19:13:34,"b'RT @LaverriereToby: #PURPLEPOWER #LALATE #MSC #DONALDTRUMP I AM TIRED OF ASKING NICELY MR. PRESIDENT!!! YOU HAVE IGNORED US LONG ENOUGH, NO\xe2\x80\xa6'"
2020-10-20 19:13:33,b'RT @StCyrlyMe2: What part of #DonaldTrump is not a good presidential pic do some of us not understand?  #MAGA We are fed the hell up of you\xe2\x80\xa6'
2020-10-20 19:13:22,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:13:06,"b'RT @LaverriereToby: #PURPLEPOWER #LALATE #MSC #DONALDTRUMP MULTIPLE CHECKS, ""NOT"" A FLIMSY LITTLE MORSEL EITHER, PEOPLE ARE STARVING, THEY\xe2\x80\xa6'"
2020-10-20 19:13:02,"b'RT @SapSpreads: No one can put it so succinctly as our woman, Amanda. \n\n#DonaldTrump ~ #Fuckem2020\n\n#BidenHarris2020ToSaveAmerica https://t\xe2\x80\xa6'"
2020-10-20 19:12:53,"b'RT @LaverriereToby: #PURPLEPOWER #LALATE #MSC #DONALDTRUMP #SEATS4STIMULUS WE WANT; IN EXECUTIVE ORDERS, $2,000 MULTIPLE CHECKS AND FPUC $6\xe2\x80\xa6'"
2020-10-20 19:12:29,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:12:17,"b'They are only interested in serving #DonaldTrump and no one and nothing else. They are beholden to him, they will d\xe2\x80\xa6 https://t.co/kXPmYfeC45'"
2020-10-20 19:12:11,"b""Since #DonaldTrump is going to act like a First Class Fool. I'm going to do just like I did on 9/11 and Go to\xe2\x80\xa6 https://t.co/HCO72G2jCQ"""
2020-10-20 19:12:09,"b'RT @charleyw: If we learned anything from 2016, it\xe2\x80\x99s that we cannot underestimate #DonaldTrump or his ability to claw his way back into con\xe2\x80\xa6'"
2020-10-20 19:12:06,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:12:05,b'\xe2\x80\x9cThe concept of global warming was created by and for the Chinese in order to make US manufacturing non-competitive\xe2\x80\xa6 https://t.co/XKlK5nVoWL'
2020-10-20 19:12:01,b'What part of #DonaldTrump is not a good presidential pic do some of us not understand?  #MAGA We are fed the hell u\xe2\x80\xa6 https://t.co/Kde52ccHNh'
2020-10-20 19:11:59,"b""In this year's #USelections, these seven #swingstates will ultimately decide the fate of both the presidential cand\xe2\x80\xa6 https://t.co/bHMm8YxLyI"""
2020-10-20 19:11:55,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:11:40,"b'Majority favor confirming Barrett to Supreme Court, oppose court packing, polls show #RedNationRising #DonaldTrump\xe2\x80\xa6 https://t.co/GEtjvRS2ct'"
2020-10-20 19:11:28,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:11:20,"b""RT @Bidengals: Sure do! Don't let #donaldtrump make you believe any differently. We know first hand many people who voted for Trump in 2016\xe2\x80\xa6"""
2020-10-20 19:11:13,"b'#JohnFogerty is issuing a #ceaseanddesist order against #DonaldTrump for using his song #FortunateSon"" on the campa\xe2\x80\xa6 https://t.co/4N9KRDWqSQ'"
2020-10-20 19:10:54,"b""Sure do! Don't let #donaldtrump make you believe any differently. We know first hand many people who voted for Trum\xe2\x80\xa6 https://t.co/Q1yIcvJ8jG"""
2020-10-20 19:10:29,"b'RT @charleyw: If we learned anything from 2016, it\xe2\x80\x99s that we cannot underestimate #DonaldTrump or his ability to claw his way back into con\xe2\x80\xa6'"
2020-10-20 19:10:11,b'At least #50Cent &amp; #DonaldTrump have one thing in common. #Bankruptcy makes strange bedfellows https://t.co/aEbW6gnyeo'
2020-10-20 19:09:22,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
2020-10-20 19:09:13,"b""RT @CatskillJulie: @Secur80Consult @johnnymags @joshjame @TuxcedoCat That's always been the #DonaldTrump strategy. In everything. Cheat, li\xe2\x80\xa6"""
2020-10-20 19:08:45,b'RT @THEHermanCain: Ben Shapiro was a never-Trumper for a long time but has now announced his support in the 2020 election. #2020election #D\xe2\x80\xa6'
